payload_offset,section,origin_zero_word,assembler_word,delta_or_kind,classification
156B,assembler,156F,7D5D,67EE,normal
1570,assembler,1DFC,85EA,67EE,normal
157C,assembler,24E3,8CD1,67EE,normal
1584,assembler,2327,8B15,67EE,normal
1592,assembler,2488,8C76,67EE,normal
1597,assembler,2327,8B15,67EE,normal
159A,assembler,145A,7C48,67EE,normal
159D,assembler,2C6F,945D,67EE,normal
15A0,assembler,2475,8C63,67EE,normal
15A3,assembler,2328,8B16,67EE,normal
15A6,assembler,232B,8B19,67EE,normal
15A9,assembler,24AD,8C9B,67EE,normal
15AD,assembler,2CE5,94D3,67EE,normal
15B1,assembler,15B9,7DA7,67EE,normal
15BA,assembler,15CD,7DBB,67EE,normal
1603,assembler,1612,7E00,67EE,normal
160C,assembler,1F06,86F4,67EE,normal
1617,assembler,29C8,91B6,67EE,normal
1623,assembler,2A17,9205,67EE,normal
163F,assembler,22DA,8AC8,67EE,normal
164A,assembler,2CE5,94D3,67EE,normal
1659,assembler,2514,8D02,67EE,normal
1668,assembler,2521,8D0F,67EE,normal
1674,assembler,2B48,9336,67EE,normal
1677,assembler,2CE5,94D3,67EE,normal
167A,assembler,2C5B,9449,67EE,normal
1680,assembler,156F,7D5D,67EE,normal
168B,assembler,1607,7DF5,67EE,normal
1691,assembler,1E73,8661,67EE,normal
1699,assembler,167D,7E6B,67EE,normal
169E,assembler,2C34,9422,67EE,normal
