payload_offset,section,origin_zero_word,full_word,delta_or_kind,classification
0AB6,monitor,0A42,867A,7C38,normal
0ABB,monitor,2D62,A99A,7C38,normal
0ACB,monitor,0B03,873B,7C38,normal
0AD0,monitor,11ED,8E25,7C38,normal
0AD5,monitor,11E7,8E1F,7C38,normal
0ADA,monitor,11E5,8E1D,7C38,normal
0ADE,monitor,2D63,A99B,7C38,normal
0AE2,monitor,2D62,A99A,7C38,normal
0AE5,monitor,0A0B,8643,7C38,normal
0AE9,monitor,0A42,867A,7C38,normal
0AEC,monitor,11F1,8E29,7C38,normal
0AF5,monitor,0A0B,8643,7C38,normal
0AFD,monitor,0B14,874C,7C38,normal
0B04,monitor,09ED,8625,7C38,normal
0B07,monitor,0B0C,8744,7C38,normal
0B0A,monitor,09CA,8602,7C38,normal
0B15,monitor,2D61,A999,7C38,normal
0B18,monitor,10A6,8CDE,7C38,normal
0B29,monitor,10A6,8CDE,7C38,normal
0B30,monitor,0906,853E,7C38,normal
0B41,monitor,11E9,8E21,7C38,normal
0B45,monitor,11EB,8E23,7C38,normal
0B48,monitor,11ED,8E25,7C38,normal
0B6F,monitor,1D7A,99B2,7C38,normal
0B77,monitor,0A08,8640,7C38,normal
0B7A,monitor,0159,7D91,7C38,normal
0B7F,monitor,0E28,8A60,7C38,normal
0B82,monitor,0904,853C,7C38,normal
0B85,monitor,013F,7D77,7C38,normal
0B8A,monitor,0E28,8A60,7C38,normal
0B8D,monitor,0904,853C,7C38,normal
0B93,monitor,11F9,8E31,7C38,normal
0B97,monitor,0BD2,880A,7C38,normal
0B9A,monitor,013F,7D77,7C38,normal
0B9D,monitor,0BA9,87E1,7C38,normal
0BA0,monitor,124B,8E83,7C38,normal
0BA4,monitor,0BD2,880A,7C38,normal
0BA7,monitor,0159,7D91,7C38,normal
0BAD,monitor,0C03,883B,7C38,normal
0BB0,monitor,0E18,8A50,7C38,normal
0BB4,monitor,0C0B,8843,7C38,normal
0BB7,monitor,0E18,8A50,7C38,normal
0BBA,monitor,0C93,88CB,7C38,normal
0BC2,monitor,0E60,8A98,7C38,normal
0BC6,monitor,0904,853C,7C38,normal
0BCC,monitor,0E60,8A98,7C38,normal
0BCF,monitor,0904,853C,7C38,normal
0BF4,monitor,0C03,883B,7C38,normal
0BF7,monitor,0E18,8A50,7C38,normal
0BFB,monitor,0C0B,8843,7C38,normal
0BFE,monitor,0E18,8A50,7C38,normal
0C01,monitor,0C93,88CB,7C38,normal
0C0C,monitor,11E9,8E21,7C38,normal
0C10,monitor,11EB,8E23,7C38,normal
0C14,monitor,11ED,8E25,7C38,normal
0C18,monitor,11E7,8E1F,7C38,normal
0C1D,monitor,11E5,8E1D,7C38,normal
0C29,monitor,11F1,8E29,7C38,normal
0C2D,monitor,11F1,8E29,7C38,normal
0C3F,monitor,0CCA,8902,7C38,normal
0C53,monitor,2CE5,A91D,7C38,normal
0C5B,monitor,0C4B,8883,7C38,normal
0C5F,monitor,0CCA,8902,7C38,normal
0C63,monitor,00F2,7D2A,7C38,normal
0C66,monitor,0E60,8A98,7C38,normal
0C6B,monitor,010C,7D44,7C38,normal
0C6E,monitor,0E60,8A98,7C38,normal
0C74,monitor,0D96,89CE,7C38,normal
0C7C,monitor,2D63,A99B,7C38,normal
0C8B,monitor,0C94,88CC,7C38,normal
0C90,monitor,0CA9,88E1,7C38,normal
0CAA,monitor,0C9C,88D4,7C38,normal
0CAF,monitor,0C9C,88D4,7C38,normal
0CB6,monitor,0D42,897A,7C38,normal
0CD6,monitor,0D54,898C,7C38,normal
0CDB,monitor,0D47,897F,7C38,normal
0CE4,monitor,0D54,898C,7C38,normal
0CEB,monitor,0D47,897F,7C38,normal
0CF1,monitor,0D49,8981,7C38,normal
0CF6,monitor,0CCA,8902,7C38,normal
0D00,monitor,0D42,897A,7C38,normal
0D08,monitor,2D61,A999,7C38,normal
0D0B,monitor,2375,9FAD,7C38,normal
0D0F,monitor,2CE5,A91D,7C38,normal
0D13,monitor,0CCA,8902,7C38,normal
0D16,monitor,0CD1,8909,7C38,normal
0D1C,monitor,0D54,898C,7C38,normal
0D21,monitor,2356,9F8E,7C38,normal
0D29,monitor,2514,A14C,7C38,normal
0D34,monitor,0D3E,8976,7C38,normal
0D45,monitor,2B48,A780,7C38,normal
0D5A,monitor,2A17,A64F,7C38,normal
0D64,monitor,0D81,89B9,7C38,normal
0DF3,monitor,0C4B,8883,7C38,normal
0DF7,monitor,255C,A194,7C38,normal
0DFF,monitor,0A08,8640,7C38,normal
0E03,monitor,0A09,8641,7C38,normal
0E11,monitor,1C3A,9872,7C38,normal
0E14,monitor,0E18,8A50,7C38,normal
0E1F,monitor,0E5D,8A95,7C38,normal
0E24,monitor,015A,7D92,7C38,normal
0E2A,monitor,0E5D,8A95,7C38,normal
0E32,monitor,2A5A,A692,7C38,normal
0E36,monitor,1B72,97AA,7C38,normal
0E62,monitor,0E84,8ABC,7C38,normal
0E6A,monitor,2A5A,A692,7C38,normal
0E6E,monitor,1B72,97AA,7C38,normal
0E88,monitor,0C4F,8887,7C38,normal
0E8C,monitor,000A,7C42,7C38,normal
0E93,monitor,000E,7C46,7C38,normal
0E98,monitor,01B4,7DEC,7C38,normal
0EA1,monitor,11D4,8E0C,7C38,normal
0EA4,monitor,1EC3,9AFB,7C38,normal
0EAA,monitor,29C8,A600,7C38,normal
0EB1,monitor,2CE4,A91C,7C38,normal
0EB4,monitor,27ED,A425,7C38,normal
0EBD,monitor,29A9,A5E1,7C38,normal
